T_degC,Salnty,O2ml_L,Depthm,Bottom_D,Wind_Spd,Dry_T,Wet_T,Wea,Cloud_Typ,Cloud_Amt,Visibility
6.624,34.1737,0.739,400,881.0,21.0,19.0,17.0,,,,
9.131,33.8823,3.146,140,3896.0,3.0,11.5,9.6,,,,
7.0,34.153,0.86,320,4234.0,11.0,17.1,14.8,,,,
8.48,34.064,2.3,200,1318.0,25.0,19.0,18.8,,,,
7.64,34.026,2.59,228,3731.0,15.0,14.0,12.8,,,,
9.97,33.742,3.38,100,1129.0,17.0,14.0,11.8,,,,
5.65,34.208,0.54,515,3996.0,5.0,17.0,16.0,Partly Cloudy,Cirrostratus,4/10,20km to 50km
9.93,34.151,1.69,150,1177.0,5.0,19.2,16.9,,,,
17.96,33.061,5.61,19,,6.0,19.5,18.0,Partly Cloudy,Cirrus,2/10 to 3/10,20km to 50km
14.6,33.689,5.51,2,1646.0,14.0,15.1,13.9,,,,
17.35,33.293,5.59,30,4232.0,22.0,16.7,15.3,,,,
11.08,33.6363,4.337,141,4083.0,10.0,17.0,15.2,Continuous blowing snow,Stratocumulus,10/10,4km to 10km
6.058,34.1753,0.589,441,3941.0,13.0,18.1,13.6,Partly Cloudy,Stratocumulus,5/10,20km to 50km
17.61,33.394,5.58,2,4002.0,16.0,17.0,14.8,,,,
15.592,33.6797,5.532,50,4244.0,19.0,16.2,14.9,,,,
7.21,34.158,1.25,318,1734.0,10.0,14.0,12.0,,,,
7.1,34.291,0.51,400,694.0,7.0,15.5,15.0,,,,
15.24,33.3,5.81,0,4209.0,15.0,13.1,10.5,Partly Cloudy,Altocumulus,1/10 or less but not zero,10km to 20km
6.34,34.231,0.48,439,3066.0,18.0,11.7,10.1,,,,
7.488,34.1789,1.013,300,4061.0,16.0,16.8,15.3,,,,
11.77,33.633,4.71,124,4073.0,9.0,18.2,16.8,Continuous blowing snow,Stratocumulus,10/10,20km to 50km
8.0,34.045,2.16,232,4226.0,15.0,12.6,11.7,Partly Cloudy,Stratocumulus,9/10 or more but not 10/10,10km to 20km
9.994,33.5512,3.768,120,235.0,1.0,15.2,14.3,,,,
8.61,33.939,3.04,169,4550.0,1.0,17.3,15.1,Partly Cloudy,Stratus,9/10 or more but not 10/10,10km to 20km
13.98,33.544,5.69,10,78.0,7.0,15.1,14.0,Clear,,Zero,10km to 20km
10.88,33.341,5.45,60,938.0,23.0,12.9,10.9,Clear,,Zero,Less than 50m
13.06,33.461,5.98,40,4104.0,8.0,16.5,15.0,Partly Cloudy,Stratocumulus,9/10 or more but not 10/10,20km to 50km
7.457,34.066,1.726,270,4062.0,13.0,15.9,15.0,,,,
14.48,32.887,7.07,2,19.0,6.0,14.1,13.0,,,,
7.807,34.0987,1.653,270,1976.0,1.0,17.0,16.0,,,,
15.45,33.437,5.9,67,4463.0,11.0,19.5,16.9,Partly Cloudy,Stratocumulus,9/10 or more but not 10/10,20km to 50km
8.324,33.9558,2.79,230,4199.0,11.0,16.8,12.3,Partly Cloudy,Altocumulus,5/10,20km to 50km
7.32,34.185,0.94,300,3678.0,14.0,17.9,15.9,Continuous blowing snow,Stratus,10/10,10km to 20km
14.13,33.205,6.03,30,4134.0,30.0,14.0,12.3,,,,
8.11,34.114,2.05,233,1848.0,15.0,17.2,16.3,,,,
16.85,33.2,5.35,16,22.0,13.0,20.0,14.6,Clear,,,20km to 50km
7.91,34.203,1.0,270,1319.0,6.0,14.8,13.2,Clear,,Zero,10km to 20km
5.22,34.182,0.62,509,4237.0,12.0,14.8,14.5,,,,
15.0,33.381,5.88,45,1319.0,22.0,16.8,15.1,Clear,,Zero,20km to 50km
9.52,33.855,2.75,125,1250.0,12.0,12.0,10.9,,,,
6.38,34.279,0.5,500,744.0,8.0,14.2,12.4,Partly Cloudy,Stratocumulus,7/10 to 8/10,10km to 20km
6.93,34.251,0.55,381,1194.0,17.0,13.4,13.4,Continuous blowing snow,Stratus,10/10,2km to 4km
9.009,33.8037,3.102,200,4000.0,1.0,17.2,15.9,Partly Cloudy,Stratocumulus,9/10 or more but not 10/10,4km to 10km
13.982,33.2415,5.32,50,77.0,15.0,17.0,,Partly Cloudy,Stratocumulus,2/10 to 3/10,10km to 20km
6.8,34.059,1.99,393,3965.0,13.0,19.2,15.9,Clear,,Zero,4km to 10km
8.79,33.96,2.68,204,3914.0,18.0,15.8,14.5,Partly Cloudy,Stratocumulus,9/10 or more but not 10/10,10km to 20km
14.12,33.41,5.58,50,1469.0,15.0,17.5,16.0,Partly Cloudy,Stratocumulus,9/10 or more but not 10/10,50km or more
7.127,34.3021,0.408,440,760.0,20.0,19.9,16.8,Clear,,Zero,20km to 50km
13.52,32.94,6.01,12,3684.0,4.0,13.2,9.6,Continuous blowing snow,Stratocumulus,10/10,4km to 10km
20.41,33.529,5.36,1,615.0,3.0,19.1,17.6,,,,
6.78,34.311,0.45,437,719.0,14.0,17.0,15.8,,,,
11.85,33.484,5.05,137,4046.0,15.0,17.0,16.8,,,,
10.18,33.591,3.52,71,771.0,14.0,14.8,14.7,,,,
14.3,32.74,6.03,0,4229.0,17.0,14.3,11.9,Partly Cloudy,Stratocumulus,9/10 or more but not 10/10,20km to 50km
15.6,33.421,5.79,5,103.0,4.0,16.6,15.0,,,,
16.31,33.241,5.73,50,4407.0,5.0,19.5,17.0,Continuous blowing snow,Stratocumulus,10/10,10km to 20km
6.4,34.205,0.7,437,743.0,5.0,16.3,14.8,Partly Cloudy,Stratus,1/10 or less but not zero,4km to 10km
8.158,34.1886,1.166,320,857.0,3.0,17.3,15.9,,,,
10.2,33.716,3.41,108,907.0,2.0,21.2,15.7,Partly Cloudy,Altostratus,2/10 to 3/10,20km to 50km
6.26,34.298,0.37,514,1468.0,10.0,16.5,14.0,Partly Cloudy,Cirrus,4/10,20km to 50km
12.73,33.407,6.16,3,2186.0,8.0,13.8,12.3,,,,
7.63,34.034,2.63,327,4311.0,15.0,14.5,13.1,,,,
6.07,34.127,0.96,400,1462.0,14.0,19.2,18.2,,,,
8.608,33.9866,3.138,200,3879.0,11.0,16.2,14.1,,,,
16.31,33.599,5.84,75,4141.0,3.0,19.9,16.0,Partly Cloudy,Cirrostratus,6/10,20km to 50km
14.94,33.255,5.81,30,,17.0,14.3,13.7,Continuous blowing snow,Stratus,10/10,4km to 10km
16.91,33.173,5.63,50,4290.0,16.0,16.1,14.8,Partly Cloudy,Stratocumulus,9/10 or more but not 10/10,10km to 20km
16.97,33.438,5.55,30,3807.0,16.0,16.3,14.6,,,,
13.119,33.4765,5.717,11,67.0,2.0,13.3,11.9,Clear,,Zero,20km to 50km
17.04,33.46,5.91,0,65.0,7.0,15.9,15.5,,,,
17.78,33.572,5.56,30,3756.0,6.0,16.1,13.0,,,,
8.24,34.094,1.87,250,4092.0,18.0,16.3,14.9,Continuous blowing snow,Stratus,10/10,2km to 4km
8.74,33.906,3.4,226,4114.0,18.0,19.8,17.5,Partly Cloudy,Stratocumulus,7/10 to 8/10,20km to 50km
6.65,34.234,0.18,477,580.0,12.0,15.0,13.7,,,,
23.225,33.7065,5.748,1,612.0,12.0,23.0,19.8,Partly Cloudy,Cirrocumulus,4/10,50km or more
18.25,33.42,5.5,10,4170.0,8.0,16.1,13.3,,,,
14.5,33.091,5.82,100,4133.0,10.0,17.9,17.0,Continuous blowing snow,Stratocumulus,10/10,20km to 50km
15.61,33.302,6.04,30,78.0,3.0,18.4,16.2,,,,
10.349,33.6007,3.906,42,1227.0,25.0,10.1,9.4,Partly Cloudy,Stratus,7/10 to 8/10,10km to 20km
5.7,34.188,0.57,515,4132.0,17.0,18.2,17.1,,,,
15.98,33.17,5.86,20,721.0,1.0,14.5,13.9,Partly Cloudy,Stratocumulus,9/10 or more but not 10/10,4km to 10km
7.115,34.2228,0.737,320,2037.0,19.0,13.8,12.1,Clear,,Zero,10km to 20km
12.239,33.2858,5.115,60,3818.0,3.0,16.0,14.2,Partly Cloudy,Stratocumulus,6/10,20km to 50km
13.664,33.5758,4.82,30,833.0,13.0,15.0,13.9,,,,
12.96,33.095,5.67,70,3834.0,8.0,14.8,13.0,,,,
7.52,34.014,3.11,300,,5.0,18.7,15.4,,,,
12.387,33.4584,6.626,0,2390.0,6.0,12.9,12.1,,,,
8.17,33.911,3.33,269,4202.0,12.0,15.3,11.8,Partly Cloudy,Cirrocumulus,7/10 to 8/10,10km to 20km
9.84,33.855,2.87,125,1323.0,14.0,14.2,14.0,Clear,,Zero,4km to 10km
7.86,34.236,1.01,316,1510.0,8.0,18.0,16.1,Partly Cloudy,Altostratus,2/10 to 3/10,20km to 50km
8.3,34.075,2.3,234,875.0,10.0,13.0,10.4,,,,
6.77,34.219,0.73,400,3829.0,4.0,18.0,15.0,,,,
12.124,33.1094,5.308,99,4339.0,4.0,14.9,13.1,Partly Cloudy,Altocumulus,4/10,10km to 20km
13.513,33.3211,5.094,50,1486.0,7.0,18.3,16.6,,,,
14.37,33.094,6.03,31,3932.0,4.0,15.1,14.7,Continuous blowing snow,Stratocumulus,10/10,4km to 10km
16.93,33.491,5.67,59,4013.0,15.0,17.4,15.5,,,,
14.29,33.5,6.33,0,118.0,10.0,14.7,13.1,Partly Cloudy,Altostratus,4/10,10km to 20km
13.3,33.463,6.0,59,845.0,11.0,12.2,10.8,,,,
10.93,33.717,3.41,84,600.0,14.0,18.7,16.0,Clear,,Zero,20km to 50km
11.73,33.092,5.4,110,4151.0,6.0,20.9,18.5,Continuous blowing snow,Stratus,10/10,10km to 20km
18.16,33.314,6.43,10,322.0,3.0,20.0,18.7,Partly Cloudy,Stratocumulus,1/10 or less but not zero,10km to 20km
13.902,33.2802,5.873,0,84.0,10.0,14.0,11.5,,,,
12.42,33.604,4.53,50,577.0,22.0,15.5,13.1,Partly Cloudy,Cirrocumulus,2/10 to 3/10,10km to 20km
8.48,33.825,4.02,250,4122.0,14.0,21.2,19.0,Clear,,Zero,10km to 20km
15.168,33.281,5.986,0,24.0,4.0,16.5,14.5,,,,
14.8,33.278,5.84,65,881.0,5.0,17.9,15.0,Partly Cloudy,Altocumulus,1/10 or less but not zero,20km to 50km
7.33,34.275,0.71,400,1459.0,10.0,19.5,18.0,Partly Cloudy,Cirrus,2/10 to 3/10,20km to 50km
12.48,33.419,4.84,92,4273.0,25.0,18.0,17.0,Continuous blowing snow,Stratocumulus,10/10,2km to 4km
11.7,33.618,4.57,53,,,,,,,,
13.88,33.388,5.93,75,4101.0,25.0,17.2,14.8,Clear,,Zero,20km to 50km
6.04,34.099,1.07,400,4501.0,15.0,12.5,10.9,Continuous blowing snow,Stratocumulus,10/10,20km to 50km
9.988,33.4809,3.743,125,4396.0,21.0,16.8,12.0,Partly Cloudy,Stratocumulus,2/10 to 3/10,20km to 50km
6.76,34.309,0.38,500,1175.0,1.0,14.9,14.1,Clear,,Zero,2km to 4km
14.81,33.147,5.8,50,3754.0,28.0,15.8,15.2,,,,
14.64,33.469,6.21,29,904.0,12.0,16.0,14.9,Continuous blowing snow,Stratocumulus,10/10,20km to 50km
17.32,33.318,5.63,10,4496.0,10.0,15.4,12.9,,,,
13.42,33.087,5.87,91,3828.0,10.0,16.9,15.0,Continuous blowing snow,Stratocumulus,10/10,4km to 10km
17.46,33.104,5.52,10,25.0,4.0,17.9,14.9,Partly Cloudy,Altostratus,6/10,20km to 50km
7.36,34.275,0.64,377,1347.0,10.0,18.8,17.2,Clear,,Zero,20km to 50km
6.09,34.194,0.58,437,3627.0,4.0,12.8,12.0,,,,
15.454,33.44,5.976,15,822.0,14.0,15.8,14.8,,,,
18.49,33.438,5.46,14,3914.0,7.0,17.9,15.0,,,,
6.03,34.276,0.47,500,1189.0,6.0,18.3,17.1,Clear,,Zero,10km to 20km
10.895,33.4849,4.891,49,304.0,1.0,11.4,9.1,Continuous blowing snow,Stratus,10/10,1km to 2km
9.908,33.7929,2.898,100,990.0,8.0,18.1,17.3,Continuous blowing snow,Stratocumulus,10/10,10km to 20km
7.34,33.984,3.46,281,4226.0,7.0,16.2,15.3,,,,
6.51,34.201,0.68,400,3630.0,12.0,14.9,12.5,Partly Cloudy,Stratus,1/10 or less but not zero,10km to 20km
5.947,34.2629,0.357,500,4020.0,12.0,16.8,15.7,Partly Cloudy,Stratus,9/10 or more but not 10/10,4km to 10km
14.22,33.164,6.25,10,1370.0,16.0,15.9,15.0,Partly Cloudy,Altocumulus,9/10 or more but not 10/10,10km to 20km
9.11,33.723,3.29,146,3968.0,10.0,14.6,14.4,,,,
5.981,34.2327,0.403,515,4125.0,14.0,18.5,15.1,Partly Cloudy,Stratus,7/10 to 8/10,20km to 50km
13.55,33.444,5.92,10,243.0,20.0,14.0,12.9,Continuous blowing snow,Stratus,10/10,1km to 2km
9.99,33.813,2.61,125,124.0,1.0,14.6,13.4,,,,
11.81,33.494,4.71,50,73.0,8.0,14.9,13.9,,,,
9.59,33.787,2.75,150,3846.0,10.0,16.1,14.1,Clear,,Zero,Less than 50m
14.91,33.484,5.85,20,3789.0,7.0,15.8,15.1,,,,
18.266,33.4452,5.472,50,3878.0,11.0,19.0,18.0,,,,
19.27,33.388,5.36,2,1525.0,13.0,18.8,16.1,Partly Cloudy,Stratocumulus,9/10 or more but not 10/10,20km to 50km
9.44,33.968,2.52,125,1014.0,6.0,18.6,15.2,Partly Cloudy,Stratocumulus,7/10 to 8/10,20km to 50km
12.02,33.4736,3.997,60,63.0,6.0,17.8,15.0,Clear,,Zero,10km to 20km
10.85,33.763,3.92,9,19.0,30.0,12.9,10.9,Partly Cloudy,Stratocumulus,5/10,10km to 20km
7.063,34.2216,0.71,380,1518.0,2.0,14.8,12.5,,,,
15.27,33.166,5.77,10,1853.0,7.0,15.3,12.8,,,,
11.55,32.946,5.53,21,930.0,7.0,16.0,15.1,Continuous blowing snow,Stratocumulus,10/10,10km to 20km
18.93,33.382,5.44,3,4222.0,18.0,17.7,16.8,Partly Cloudy,Stratus,7/10 to 8/10,20km to 50km
9.27,34.005,2.73,200,1660.0,21.0,16.1,14.8,,,,
19.151,33.5526,5.522,0,21.0,5.0,18.9,16.9,,,,
7.11,34.242,0.75,400,1174.0,5.0,13.4,11.9,,,,
5.717,34.2453,0.382,515,3964.0,14.0,12.1,10.0,,,,
11.931,33.3324,4.636,50,2610.0,12.0,15.3,14.0,Continuous blowing snow,Altostratus,7/10 to 8/10,4km to 10km
14.57,33.21,5.89,23,281.0,3.0,15.3,14.9,Fog,Stratus,7/10 to 8/10,4km to 10km
7.65,34.03,2.64,319,4160.0,3.0,19.0,18.5,Drizzle,Stratocumulus,10/10,4km to 10km
18.17,33.14,5.55,0,4258.0,19.0,16.8,15.1,Partly Cloudy,Stratocumulus,4/10,20km to 50km
12.44,33.136,6.15,30,4189.0,15.0,12.4,10.1,Continuous blowing snow,Stratus,10/10,4km to 10km
15.38,33.434,5.9,10,24.0,1.0,14.0,13.2,,,,
16.99,33.335,,10,29.0,2.0,20.3,18.5,Clear,,Zero,20km to 50km
7.28,34.117,1.35,300,4234.0,19.0,14.0,10.4,,,,
11.63,33.225,4.6,60,122.0,13.0,15.4,13.5,,,,
20.22,33.673,5.29,2,3691.0,12.0,20.3,19.4,,,,
8.552,33.9152,3.012,170,4265.0,13.0,15.8,13.9,,,,
15.79,33.437,5.78,1,4080.0,4.0,16.2,14.9,,,,
6.7,34.083,1.46,319,3860.0,5.0,17.8,15.0,Continuous blowing snow,Stratocumulus,10/10,10km to 20km
12.2,33.236,5.5,102,,16.0,18.1,15.8,Partly Cloudy,Stratocumulus,9/10 or more but not 10/10,10km to 20km
16.24,32.932,5.81,28,,15.0,17.0,15.9,,,,
8.59,34.077,1.93,200,4161.0,19.0,13.9,11.2,Continuous blowing snow,Altocumulus,4/10,20km to 50km
7.675,34.0628,2.0,270,906.0,22.0,16.5,15.0,Continuous blowing snow,Stratocumulus,10/10,2km to 4km
20.652,33.4231,5.257,17,1954.0,15.0,20.1,17.4,Clear,,Zero,20km to 50km
8.901,33.9222,2.718,200,1673.0,22.0,21.4,18.0,Clear,,Zero,10km to 20km
6.756,34.282,0.417,440,555.0,14.0,16.9,12.8,Partly Cloudy,Cumulus,1/10 or less but not zero,10km to 20km
15.74,33.268,5.91,75,,16.0,22.1,18.2,Partly Cloudy,Altocumulus,7/10 to 8/10,10km to 20km
9.304,33.7682,3.27,170,4210.0,8.0,18.1,17.9,,,,
17.16,33.39,5.65,19,1474.0,4.0,17.0,15.3,Continuous blowing snow,Stratus,10/10,4km to 10km
13.86,33.323,6.13,5,26.0,4.0,13.7,12.5,,,,
8.77,34.131,1.64,201,1626.0,6.0,14.0,13.8,,,,
13.68,32.914,6.02,20,4211.0,11.0,14.7,14.0,,,,
15.402,33.5269,5.79,0,300.0,11.0,13.5,11.1,,,,
15.4,33.555,5.85,1,75.0,5.0,17.1,16.0,Partly Cloudy,Stratocumulus,1/10 or less but not zero,20km to 50km
6.182,34.1536,0.768,400,3862.0,13.0,17.0,13.5,Continuous blowing snow,Stratocumulus,10/10,2km to 4km
15.66,33.594,5.8,20,572.0,7.0,14.5,12.9,,,,
9.43,33.495,4.28,170,4072.0,21.0,15.4,14.5,,,,
9.3,33.909,2.45,100,1397.0,20.0,16.9,15.5,,,,
9.35,33.606,4.21,150,,16.0,15.9,15.0,Rain,Stratus,10/10,1km to 2km
5.785,34.2655,0.348,500,1594.0,18.0,14.1,12.0,Partly Cloudy,Stratocumulus,5/10,50m to 200m
10.37,34.189,1.65,200,1338.0,8.0,19.2,18.2,,,,
10.087,33.736,3.275,125,302.0,12.0,19.9,17.8,Partly Cloudy,Cirrostratus,4/10,10km to 20km
6.61,34.07,1.61,379,3562.0,20.0,16.8,16.0,,,,
11.69,33.512,4.52,75,4020.0,16.0,16.2,15.7,,,,
16.93,33.309,5.69,2,4032.0,13.0,16.4,14.8,,,,
7.52,33.995,2.89,273,4265.0,12.0,16.4,15.8,Partly Cloudy,Stratocumulus,9/10 or more but not 10/10,4km to 10km
5.66,34.135,0.81,509,4132.0,9.0,16.2,15.2,,,,
13.688,33.5232,5.621,112,4359.0,16.0,18.2,17.0,Continuous blowing snow,Stratocumulus,9/10 or more but not 10/10,4km to 10km
18.087,33.4422,5.49,25,3721.0,10.0,19.5,17.0,Partly Cloudy,Stratocumulus,7/10 to 8/10,10km to 20km
13.74,33.48,5.95,20,614.0,2.0,14.0,12.3,Clear,,Zero,Less than 50m
12.41,33.147,6.2,40,4114.0,8.0,14.9,11.9,Partly Cloudy,Cumulus,1/10 or less but not zero,10km to 20km
7.9,34.152,1.57,269,4020.0,14.0,14.2,12.0,,,,
9.64,33.827,2.7,120,614.0,12.0,18.9,17.5,,,,
9.21,33.654,3.52,150,4180.0,6.0,14.1,12.0,,,,
8.97,34.193,1.41,230,682.0,5.0,18.2,15.3,Clear,,Zero,Less than 50m
7.47,34.254,0.88,377,1583.0,5.0,13.9,12.3,Partly Cloudy,Cirrus,1/10 or less but not zero,20km to 50km
12.53,32.81,6.14,74,4170.0,15.0,17.8,16.2,,,,
13.929,33.3061,5.735,2,30.0,6.0,14.2,12.0,,,,
20.142,33.6741,5.57,5,66.0,5.0,19.8,17.9,,,,
17.36,33.309,5.67,9,1411.0,15.0,17.8,16.0,Partly Cloudy,Stratocumulus,9/10 or more but not 10/10,20km to 50km
9.36,34.043,2.59,139,1469.0,8.0,17.1,15.9,Partly Cloudy,Cirrocumulus,2/10 to 3/10,10km to 20km
7.28,34.038,2.33,300,4297.0,20.0,15.1,13.9,Partly Cloudy,Cumulus,7/10 to 8/10,10km to 20km
18.66,33.171,5.52,10,3931.0,15.0,18.1,16.9,,,,
7.97,34.258,0.9,319,1680.0,10.0,16.0,14.9,Partly Cloudy,Altocumulus,7/10 to 8/10,10km to 20km
15.66,33.5881,5.793,40,1602.0,18.0,15.4,14.3,Continuous blowing snow,Stratus,10/10,10km to 20km
15.6,33.524,5.78,16,3968.0,12.0,15.8,12.4,,,,
13.73,33.216,5.96,30,100.0,2.0,19.2,17.9,Continuous blowing snow,Nimbostratus,10/10,20km to 50km
17.23,33.353,5.84,10,240.0,5.0,16.9,15.5,,,,
8.26,34.086,2.02,250,909.0,9.0,16.1,14.0,Continuous blowing snow,Stratocumulus,10/10,10km to 20km
12.77,32.892,6.22,10,4230.0,22.0,14.5,11.4,Fog,,,2km to 4km
9.48,33.82,2.94,102,808.0,21.0,14.7,14.0,Clear,,Zero,10km to 20km
8.98,33.903,2.69,195,3996.0,15.0,18.2,16.9,,,,
19.2,33.254,5.39,2,4126.0,4.0,20.5,17.8,Continuous blowing snow,Cirrocumulus,10/10,10km to 20km
12.68,33.496,6.29,10,65.0,10.0,16.0,12.5,Clear,,Zero,4km to 10km
12.52,33.315,5.91,10,1610.0,15.0,14.3,12.7,,,,
10.22,33.565,3.63,50,93.0,2.0,11.4,10.3,Partly Cloudy,Altostratus,7/10 to 8/10,10km to 20km
9.34,33.638,3.55,150,623.0,9.0,17.4,14.2,,,,
8.93,33.866,3.91,179,4154.0,14.0,18.8,16.9,,,,
20.18,33.565,5.43,10,1845.0,3.0,18.7,17.0,,,,
9.46,33.905,3.11,125,573.0,10.0,20.2,18.6,Partly Cloudy,Stratocumulus,9/10 or more but not 10/10,20km to 50km
16.057,33.0774,5.748,30,4016.0,10.0,15.9,12.7,,,,
9.0,33.868,3.25,184,3784.0,21.0,12.0,9.9,,,,
14.396,33.3018,5.981,62,4342.0,21.0,15.5,14.2,Continuous blowing snow,Stratus,10/10,4km to 10km
18.53,33.522,5.46,31,4051.0,2.0,18.3,15.4,Partly Cloudy,Cumulus,2/10 to 3/10,20km to 50km
5.72,34.078,1.11,438,4366.0,12.0,14.0,12.0,Continuous blowing snow,Stratocumulus,10/10,20km to 50km
11.2,33.667,4.27,40,77.0,0.0,13.8,12.0,,,,
9.35,34.002,2.36,138,749.0,6.0,13.5,11.3,,,,
11.19,33.145,5.48,75,3948.0,10.0,12.5,10.1,Continuous blowing snow,Stratus,10/10,2km to 4km
8.48,33.884,3.32,170,1205.0,28.0,14.4,13.2,,,,
14.0,33.306,6.1,19,261.0,3.0,14.0,13.4,,,,
12.683,33.6004,4.967,15,20.0,17.0,17.0,11.9,,,,
13.11,33.452,5.19,120,4198.0,4.0,21.5,20.0,Clear,,Zero,20km to 50km
7.39,34.26,0.76,377,619.0,5.0,15.3,12.2,Partly Cloudy,Cumulus,2/10 to 3/10,20km to 50km
14.72,33.551,6.0,30,,,,,,,,
17.96,33.338,5.66,30,3962.0,13.0,21.2,20.2,Clear,,Zero,20km to 50km
6.974,34.2689,0.529,400,728.0,16.0,15.0,12.9,,,,
10.6,33.49,4.401,85,4189.0,9.0,18.0,15.5,Continuous blowing snow,Stratocumulus,10/10,20km to 50km
13.797,33.4739,5.857,100,3886.0,13.0,16.4,16.3,Fog,Stratus,10/10,1km to 2km
8.964,33.2007,4.94,101,4546.0,3.0,15.1,14.8,Continuous blowing snow,Stratus,10/10,2km to 4km
7.94,34.0,2.51,250,3982.0,8.0,15.9,13.8,Partly Cloudy,Stratocumulus,9/10 or more but not 10/10,10km to 20km
6.69,34.2,0.9,400,1314.0,13.0,16.9,16.0,,,,
17.91,33.491,5.51,28,1314.0,8.0,18.0,15.5,Continuous blowing snow,Cirrostratus,10/10,20km to 50km
9.57,33.035,5.07,110,4094.0,8.0,14.8,13.1,,,,
15.04,32.726,5.89,10,4310.0,18.0,16.2,13.1,Partly Cloudy,Stratus,7/10 to 8/10,20km to 50km
9.92,33.402,4.14,75,4003.0,7.0,12.5,11.5,,,,
9.161,33.7507,3.296,200,3997.0,19.0,19.9,16.0,Partly Cloudy,Stratus,9/10 or more but not 10/10,10km to 20km
9.076,34.0426,2.134,171,296.0,3.0,14.4,14.3,,,,
13.76,32.974,6.15,74,4240.0,16.0,17.1,15.0,Partly Cloudy,Stratus,9/10 or more but not 10/10,20km to 50km
18.048,33.1373,5.778,20,729.0,7.0,18.7,15.9,,,,
12.84,33.496,4.74,32,32.0,6.0,16.4,12.4,Partly Cloudy,Stratus,7/10 to 8/10,20km to 50km
7.22,34.188,1.13,332,900.0,5.0,17.1,15.2,Partly Cloudy,Stratus,9/10 or more but not 10/10,20km to 50km
5.697,34.2093,0.444,514,3992.0,15.0,12.3,8.8,,,,
6.41,34.325,,501,3977.0,19.0,14.3,12.6,Continuous blowing snow,Stratocumulus,10/10,10km to 20km
12.37,33.499,5.44,10,72.0,14.0,14.8,14.0,,,,
5.48,34.217,0.46,500,1510.0,18.0,14.1,13.7,,,,
6.75,34.157,1.05,377,3249.0,18.0,15.8,14.2,Clear,,,20km to 50km
6.4,34.3151,0.236,481,723.0,11.0,15.9,12.5,,,,
12.84,33.192,5.73,99,4009.0,17.0,17.2,16.0,Continuous blowing snow,Stratus,10/10,4km to 10km
14.48,33.222,5.86,68,3881.0,8.0,15.1,12.0,Partly Cloudy,Stratocumulus,7/10 to 8/10,20km to 50km
6.7,34.131,0.96,380,988.0,10.0,15.7,13.5,Continuous blowing snow,Stratocumulus,10/10,10km to 20km
19.43,33.281,5.37,10,4567.0,24.0,17.2,14.5,Partly Cloudy,Stratocumulus,5/10,4km to 10km
8.862,34.1164,1.892,229,621.0,3.0,16.1,15.1,,,,
6.019,34.2744,0.333,500,4333.0,13.0,16.2,14.2,,,,
18.2,33.158,5.5,50,3850.0,18.0,18.0,14.6,Partly Cloudy,Stratocumulus,9/10 or more but not 10/10,10km to 20km
7.09,34.265,0.55,379,1659.0,8.0,14.4,13.3,Partly Cloudy,Stratocumulus,2/10 to 3/10,10km to 20km
15.61,32.978,5.8,30,3680.0,21.0,14.3,12.2,,,,
10.634,33.7559,2.554,100,641.0,2.0,22.0,20.0,Partly Cloudy,Altostratus,7/10 to 8/10,10km to 20km
7.64,33.904,2.91,200,4155.0,9.0,17.7,15.3,Continuous blowing snow,Stratocumulus,9/10 or more but not 10/10,10km to 20km
8.79,34.0272,2.064,200,2946.0,6.0,14.9,13.8,Partly Cloudy,Cirrostratus,2/10 to 3/10,10km to 20km
9.15,34.13,1.83,250,1185.0,7.0,17.1,15.8,Partly Cloudy,Stratocumulus,9/10 or more but not 10/10,2km to 4km
14.689,33.5429,5.562,10,123.0,10.0,11.8,7.5,,,,
10.9,33.357,4.51,125,4033.0,33.0,15.0,12.9,Partly Cloudy,Altocumulus,5/10,10km to 20km
16.026,33.2481,5.515,2,19.0,14.0,13.6,9.6,Clear,,Zero,10km to 20km
2.96,34.541,0.97,1400,4229.0,2.0,12.3,10.2,,,,
15.46,33.482,5.72,75,838.0,14.0,15.8,14.1,,,,
7.09,34.023,1.9,300,4235.0,14.0,17.1,15.2,Partly Cloudy,Stratocumulus,9/10 or more but not 10/10,10km to 20km
18.69,33.128,5.57,2,4232.0,10.0,18.8,17.2,Continuous blowing snow,Stratocumulus,10/10,10km to 20km
9.22,33.602,4.12,118,2620.0,13.0,14.2,13.1,Partly Cloudy,Altostratus,2/10 to 3/10,10km to 20km
8.76,33.906,2.82,172,4020.0,9.0,19.8,16.9,Partly Cloudy,Altocumulus,5/10,10km to 20km
15.77,33.309,5.44,30,60.0,5.0,16.4,14.0,,,,
6.915,34.0526,1.625,320,1392.0,3.0,16.9,15.6,,,,
14.13,33.507,6.06,19,612.0,4.0,18.0,17.0,Fog,Stratus,10/10,4km to 10km
12.17,33.368,5.47,63,491.0,14.0,18.3,17.6,,,,
12.994,33.4406,4.43,21,77.0,15.0,16.0,15.0,,,,
8.624,33.9178,2.921,230,4270.0,5.0,14.3,12.4,Continuous blowing snow,Stratocumulus,10/10,10km to 20km
7.353,34.1113,1.296,300,3831.0,20.0,19.1,15.0,Partly Cloudy,Stratocumulus,1/10 or less but not zero,20km to 50km
6.997,34.0428,1.769,320,3997.0,17.0,15.2,12.8,Partly Cloudy,Stratus,7/10 to 8/10,4km to 10km
